5.9245 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
6.7113 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa8b80a340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa8b80a2e0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa8b80a130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7faa8bac5a60>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.7115 	EXP 	window1: mouseVisible = True
6.7115 	EXP 	window1: backgroundImage = ''
6.7115 	EXP 	window1: backgroundFit = 'none'
6.7140 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.7141 	EXP 	window1: recordFrameIntervals = False
6.8776 	EXP 	window1: recordFrameIntervals = True
7.0615 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
7.0615 	EXP 	window1: recordFrameIntervals = False
7.0622 	EXP 	window1: mouseVisible = False
9.7484 	EXP 	Framing_HieuLe: status = STARTED
9.7493 	EXP 	window1: mouseVisible = True
9.7496 	EXP 	window1: mouseVisible = True
9.7504 	EXP 	window1: mouseVisible = True
9.7510 	EXP 	window1: mouseVisible = True
9.7605 	EXP 	window1: mouseVisible = True
9.7607 	EXP 	window1: mouseVisible = True
9.7613 	EXP 	window1: mouseVisible = True
9.7618 	EXP 	window1: mouseVisible = True
9.7901 	EXP 	window1: mouseVisible = True
9.7905 	EXP 	window1: mouseVisible = True
9.7906 	EXP 	window1: mouseVisible = True
9.7913 	EXP 	window1: mouseVisible = True
9.7919 	EXP 	window1: mouseVisible = True
9.7988 	EXP 	window1: mouseVisible = True
9.7990 	EXP 	window1: mouseVisible = True
9.7996 	EXP 	window1: mouseVisible = True
9.8001 	EXP 	window1: mouseVisible = True
9.8064 	EXP 	window1: mouseVisible = True
9.8067 	EXP 	window1: mouseVisible = True
9.8142 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0227 	EXP 	Imported lists.xlsx as conditions, 2 conditions, 1 params
0.0233 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
0.0235 	EXP 	New trial (rep=0, index=0): {'listName': 'framing2.xlsx'}
0.0295 	EXP 	Imported framing2.xlsx as conditions, 5 conditions, 5 params
0.0298 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
0.0300 	EXP 	New trial (rep=0, index=0): {'ItemText': 'A random sample of 100 lawyers and engineers is taken. The sample ends up\ncomprising 70 engineers and 30 lawyers. From this sample, one person is interviewed. He is a\n30-year-old man of high ability and high motivation. He promises to be quite successful in his\nfield. He is well liked by colleagues.', 'Question': 'Which profession do you think the man is?', 'Option1': 'ENGINEER', 'Option2': 'LAWYER', 'Framing': 2}
0.1486 	EXP 	text: height = 0.05
0.1486 	EXP 	text: height = 0.05
0.1486 	EXP 	text: height = 0.05
0.1486 	EXP 	text: text = 'A random sample of 100 lawyers and engineers is taken. The sample ends up\ncomprising 70 engineers and 30 lawyers. From this sample, one person is interviewed. He is a\n30-year-old man of high ability and high motivation. He promises to be quite successful in his\nfield. He is well liked by colleagues.'
0.1486 	EXP 	text: autoDraw = True
28.9212 	DATA 	Keypress: escape
28.9656 	EXP 	Framing_HieuLe: status = STOPPED
28.9810 	EXP 	text: autoDraw = False
28.9810 	EXP 	Framing_HieuLe: status = STOPPED
29.0084 	EXP 	window1: mouseVisible = True
