15.3207 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
16.1069 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc7ec502400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc7ec5023a0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc7ec502220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc81b8f1a30>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.1071 	EXP 	window1: mouseVisible = True
16.1072 	EXP 	window1: backgroundImage = ''
16.1072 	EXP 	window1: backgroundFit = 'none'
16.1098 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.1098 	EXP 	window1: recordFrameIntervals = False
16.2738 	EXP 	window1: recordFrameIntervals = True
16.4566 	EXP 	Screen (0) actual frame rate measured at 60.21Hz
16.4566 	EXP 	window1: recordFrameIntervals = False
16.4574 	EXP 	window1: mouseVisible = False
19.1379 	EXP 	Framing_HieuLe: status = STARTED
19.1387 	EXP 	window1: mouseVisible = True
19.1390 	EXP 	window1: mouseVisible = True
19.1398 	EXP 	window1: mouseVisible = True
19.1404 	EXP 	window1: mouseVisible = True
19.1502 	EXP 	window1: mouseVisible = True
19.1504 	EXP 	window1: mouseVisible = True
19.1510 	EXP 	window1: mouseVisible = True
19.1516 	EXP 	window1: mouseVisible = True
19.1801 	EXP 	window1: mouseVisible = True
19.1804 	EXP 	window1: mouseVisible = True
19.1806 	EXP 	window1: mouseVisible = True
19.1812 	EXP 	window1: mouseVisible = True
19.1818 	EXP 	window1: mouseVisible = True
19.1887 	EXP 	window1: mouseVisible = True
19.1889 	EXP 	window1: mouseVisible = True
19.1895 	EXP 	window1: mouseVisible = True
19.1901 	EXP 	window1: mouseVisible = True
19.1964 	EXP 	window1: mouseVisible = True
19.1967 	EXP 	window1: mouseVisible = True
19.2041 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 2.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0175 	EXP 	Imported lists.xlsx as conditions, 2 conditions, 1 params
0.0181 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
0.0183 	EXP 	New trial (rep=0, index=0): {'listName': 'framing1.xlsx'}
0.0245 	EXP 	Imported framing1.xlsx as conditions, 5 conditions, 5 params
0.0249 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
0.0250 	EXP 	New trial (rep=0, index=0): {'ItemText': 'You are deciding between buying two cars, Car A and Car B. On a car review\nwebsite, you find that the average of 1,000 ratings for Car A is a 4.95/5.0 and the average rating\nfor Car B is 3.70/5.0.', 'Question': 'Which car would you decide to purchase?', 'Option1': 'CAR A', 'Option2': 'CAR B', 'Framing': 1}
0.1176 	EXP 	text: height = 0.05
0.1176 	EXP 	text: height = 0.05
0.1176 	EXP 	text: height = 0.05
0.1176 	EXP 	text: text = 'You are deciding between buying two cars, Car A and Car B. On a car review\nwebsite, you find that the average of 1,000 ratings for Car A is a 4.95/5.0 and the average rating\nfor Car B is 3.70/5.0.'
0.1176 	EXP 	text: autoDraw = True
13.7275 	DATA 	Keypress: escape
13.7871 	EXP 	Framing_HieuLe: status = STOPPED
13.8025 	EXP 	text: autoDraw = False
13.8025 	EXP 	Framing_HieuLe: status = STOPPED
13.8311 	EXP 	window1: mouseVisible = True
