6.5243 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.2934 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f94b31d24c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f94b31d2460>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f94b31d22e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f94b308cbe0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.2935 	EXP 	window1: mouseVisible = True
7.2935 	EXP 	window1: backgroundImage = ''
7.2935 	EXP 	window1: backgroundFit = 'none'
7.2958 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.2958 	EXP 	window1: recordFrameIntervals = False
7.4607 	EXP 	window1: recordFrameIntervals = True
7.6443 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
7.6443 	EXP 	window1: recordFrameIntervals = False
7.6451 	EXP 	window1: mouseVisible = False
10.3012 	EXP 	Framing_HieuLe: status = STARTED
10.3020 	EXP 	window1: mouseVisible = True
10.3023 	EXP 	window1: mouseVisible = True
10.3031 	EXP 	window1: mouseVisible = True
10.3037 	EXP 	window1: mouseVisible = True
10.3139 	EXP 	window1: mouseVisible = True
10.3141 	EXP 	window1: mouseVisible = True
10.3147 	EXP 	window1: mouseVisible = True
10.3153 	EXP 	window1: mouseVisible = True
10.3451 	EXP 	window1: mouseVisible = True
10.3454 	EXP 	window1: mouseVisible = True
10.3456 	EXP 	window1: mouseVisible = True
10.3462 	EXP 	window1: mouseVisible = True
10.3468 	EXP 	window1: mouseVisible = True
10.3537 	EXP 	window1: mouseVisible = True
10.3539 	EXP 	window1: mouseVisible = True
10.3545 	EXP 	window1: mouseVisible = True
10.3551 	EXP 	window1: mouseVisible = True
10.3619 	EXP 	window1: mouseVisible = True
10.3622 	EXP 	window1: mouseVisible = True
10.3697 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0182 	EXP 	Imported lists.xlsx as conditions, 2 conditions, 1 params
0.0189 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
0.0191 	EXP 	New trial (rep=0, index=0): {'listName': 'framing1.xlsx'}
0.0251 	EXP 	Imported framing1.xlsx as conditions, 5 conditions, 5 params
0.0255 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
0.0256 	EXP 	New trial (rep=0, index=0): {'ItemText': 'A new vaccine is available for a deadly new disease that is sweeping across the\nworld. Scientists estimate that if 1 million people take the vaccine, 1,000 of those people will\nstill die from the disease.', 'Question': 'Would you take the vaccine, if given the opportunity?', 'Option1': 'YES', 'Option2': 'NO', 'Framing': 1}
0.1175 	EXP 	text: height = 0.05
0.1175 	EXP 	text: height = 0.05
0.1175 	EXP 	text: height = 0.05
0.1175 	EXP 	text: text = 'A new vaccine is available for a deadly new disease that is sweeping across the\nworld. Scientists estimate that if 1 million people take the vaccine, 1,000 of those people will\nstill die from the disease.'
0.1175 	EXP 	text: autoDraw = True
24.3258 	DATA 	Mouse: Left button down, pos=(537,250)
24.3288 	EXP 	New trial (rep=0, index=1): {'ItemText': 'You are deciding between buying two cars, Car A and Car B. On a car review\nwebsite, you find that the average of 1,000 ratings for Car A is a 4.95/5.0 and the average rating\nfor Car B is 3.70/5.0.', 'Question': 'Which car would you decide to purchase?', 'Option1': 'CAR A', 'Option2': 'CAR B', 'Framing': 1}
24.3826 	EXP 	text: autoDraw = False
24.3826 	EXP 	text: height = 0.05
24.3826 	EXP 	text: height = 0.05
24.3826 	EXP 	text: height = 0.05
24.3826 	EXP 	text: text = 'You are deciding between buying two cars, Car A and Car B. On a car review\nwebsite, you find that the average of 1,000 ratings for Car A is a 4.95/5.0 and the average rating\nfor Car B is 3.70/5.0.'
24.3826 	EXP 	text: autoDraw = True
24.4253 	DATA 	Mouse:  Left button up, pos=(537,250)
31.8209 	DATA 	Keypress: escape
31.8759 	EXP 	Framing_HieuLe: status = STOPPED
31.8911 	EXP 	text: autoDraw = False
31.8912 	EXP 	Framing_HieuLe: status = STOPPED
31.9193 	EXP 	window1: mouseVisible = True
