6.7954 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.5838 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd1ab3724f0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd1ab372490>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd1ab372310>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd1a91c4c10>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5839 	EXP 	window1: mouseVisible = True
7.5839 	EXP 	window1: backgroundImage = ''
7.5839 	EXP 	window1: backgroundFit = 'none'
7.5865 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.5865 	EXP 	window1: recordFrameIntervals = False
7.7496 	EXP 	window1: recordFrameIntervals = True
7.9342 	EXP 	Screen (0) actual frame rate measured at 59.61Hz
7.9342 	EXP 	window1: recordFrameIntervals = False
7.9351 	EXP 	window1: mouseVisible = False
10.3721 	EXP 	Framing_HieuLe: status = STARTED
10.3729 	EXP 	window1: mouseVisible = True
10.3732 	EXP 	window1: mouseVisible = True
10.3740 	EXP 	window1: mouseVisible = True
10.3746 	EXP 	window1: mouseVisible = True
10.3992 	EXP 	window1: mouseVisible = True
10.3994 	EXP 	window1: mouseVisible = True
10.4000 	EXP 	window1: mouseVisible = True
10.4006 	EXP 	window1: mouseVisible = True
10.4278 	EXP 	window1: mouseVisible = True
10.4281 	EXP 	window1: mouseVisible = True
10.4282 	EXP 	window1: mouseVisible = True
10.4288 	EXP 	window1: mouseVisible = True
10.4294 	EXP 	window1: mouseVisible = True
10.4473 	EXP 	window1: mouseVisible = True
10.4475 	EXP 	window1: mouseVisible = True
10.4481 	EXP 	window1: mouseVisible = True
10.4487 	EXP 	window1: mouseVisible = True
10.4560 	EXP 	window1: mouseVisible = True
10.4711 	EXP 	window1: mouseVisible = True
