10.5424 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
11.3124 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8704612610>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f87046125b0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8704612430>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f86f2503d30>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.3126 	EXP 	window1: mouseVisible = True
11.3126 	EXP 	window1: backgroundImage = ''
11.3126 	EXP 	window1: backgroundFit = 'none'
11.3151 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.3152 	EXP 	window1: recordFrameIntervals = False
11.4787 	EXP 	window1: recordFrameIntervals = True
11.6619 	EXP 	Screen (0) actual frame rate measured at 60.14Hz
11.6620 	EXP 	window1: recordFrameIntervals = False
11.6628 	EXP 	window1: mouseVisible = False
14.3235 	EXP 	Framing_HieuLe: status = STARTED
14.3243 	EXP 	window1: mouseVisible = True
14.3246 	EXP 	window1: mouseVisible = True
14.3254 	EXP 	window1: mouseVisible = True
14.3260 	EXP 	window1: mouseVisible = True
14.3356 	EXP 	window1: mouseVisible = True
14.3358 	EXP 	window1: mouseVisible = True
14.3364 	EXP 	window1: mouseVisible = True
14.3370 	EXP 	window1: mouseVisible = True
14.3654 	EXP 	window1: mouseVisible = True
14.3657 	EXP 	window1: mouseVisible = True
14.3659 	EXP 	window1: mouseVisible = True
14.3665 	EXP 	window1: mouseVisible = True
14.3671 	EXP 	window1: mouseVisible = True
14.3741 	EXP 	window1: mouseVisible = True
14.3743 	EXP 	window1: mouseVisible = True
14.3749 	EXP 	window1: mouseVisible = True
14.3754 	EXP 	window1: mouseVisible = True
14.3818 	EXP 	window1: mouseVisible = True
14.3821 	EXP 	window1: mouseVisible = True
14.3901 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0181 	EXP 	Imported lists.xlsx as conditions, 2 conditions, 1 params
0.0188 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
0.0190 	EXP 	New trial (rep=0, index=0): {'listName': 'framing1.xlsx'}
0.0251 	EXP 	Imported framing1.xlsx as conditions, 5 conditions, 5 params
0.0255 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
0.0257 	EXP 	New trial (rep=0, index=0): {'ItemText': 'Linda is 31 years old, single, outspoken, and very bright. She majored in\nphilosophy. As a student, she was deeply concerned with issues of discrimination and social\njustice, and also participated in anti-nuclear demonstrations.', 'Question': 'Which is more probable:', 'Option1': 'Linda is a bank teller.', 'Option2': 'Linda is a bank teller who is also\ninvolved in the feminist movement.', 'Framing': 1}
0.1460 	EXP 	text: height = 0.05
0.1460 	EXP 	text: height = 0.05
0.1460 	EXP 	text: height = 0.05
0.1460 	EXP 	text: text = 'Linda is 31 years old, single, outspoken, and very bright. She majored in\nphilosophy. As a student, she was deeply concerned with issues of discrimination and social\njustice, and also participated in anti-nuclear demonstrations.'
0.1460 	EXP 	text: autoDraw = True
15.7395 	DATA 	Mouse: Left button down, pos=(520,657)
15.7435 	EXP 	New trial (rep=0, index=1): {'ItemText': 'At a fundraiser, you are presented with two options for a raffle ticket. For Option A,\nyou are guaranteed to win a gift card to a random restaurant valued at $5. For Option B, you\nhave a 20% chance to win a gift card to a random restaurant valued at $25.', 'Question': 'Which option would you select?', 'Option1': 'OPTION A', 'Option2': 'OPTION B', 'Framing': 1}
15.8031 	EXP 	text: autoDraw = False
15.8031 	EXP 	text: height = 0.05
